id	created_at	text
699885404229627904	2016-02-17 09:17:38	How does @ICRC work globally to address #sexualviolence in conflict? Learn more here: https://t.co/So5vbZAxPw  #TEDxNations via @PMeigeICRC
699882415788068864	2016-02-17 09:05:45	Missed #TEDxNations? All 11 talks &amp; 2 performances will be posted at https://t.co/1JLXMCY9Qr soon. Stay tuned! https://t.co/Kojc5QrQpg
699858798765346817	2016-02-17 07:31:55	Great! #TEDxNations  https://t.co/N1fBXGfnyt
699835678402555905	2016-02-17 06:00:02	The Computer Orchestra conducted by @LauraPerrenoud of @FragmentIn was one of the highlights at #TEDxNations https://t.co/1bHubwyUj7
699833035265413120	2016-02-17 05:49:32	1,000 ppl in the audience21 viewing parties worldwide3,000+ppl watching liveThank u all!#TEDxNations https://t.co/8TTlHEey37 v @UNGeneva
699708010113933312	2016-02-16 21:32:44	A bright day at the Palais des Nations- ideal conditions for hearing fresh new @TEDx ideas @ #TEDxNations! @UNGeneva https://t.co/huEESK3zAZ
699703891164684289	2016-02-16 21:16:22	#Hawaii The Computer Orchestra #TEDxNations in #Geneva conducted by Laura Perrenoud, Fragment.in https://t.co/N0ZzEzk76z
699685448315047936	2016-02-16 20:03:05	1,000 people in the audience21 viewing parties worldwide3,000+ people watching liveThank you all!#TEDxNations https://t.co/LlrlAlxmfJ
699587486444552192	2016-02-16 13:33:49	The Alliance of Civilizations and Human Rights room at @UNGeneva illuminated for #TEDxNations. Photo @RaianiSibien https://t.co/xsmEwlW8QY
699473305527390209	2016-02-16 06:00:06	Use the power of #360video to discover a dress that could shelter a family of #refugees on display at #TEDxNations https://t.co/d6lRTmIYry
699453519233945600	2016-02-16 04:41:28	Watch #TEDxNations live now: https://t.co/7cVGVAIV7M(from 15:00 CET, 11 February) https://t.co/2VMyuaLBb5
699220970435977216	2016-02-15 13:17:24	.@DerbyUni hosted a very successful #TEDxNations viewing party. It was great having you on board! https://t.co/Z69Q08eIiK
699217237744472064	2016-02-15 13:02:34	The Computer Orchestra conducted by @LauraPerrenoud of @FragmentIn was one of the highlights at #TEDxNations https://t.co/s2eJxo40zL
699194763304660993	2016-02-15 11:33:16	1,000+ ppl in the audience, 21 viewing parties, 3,000+ ppl watching live webcast - thank you all! #TEDxNations https://t.co/3BUhtl8oqh
699133646347837440	2016-02-15 07:30:25	AnnKaZo: RT UN_ECE: Want to learn more abt #SustainableEnergy? Attend TED Talks on 11Feb in Geneva! #TEDxNations … https://t.co/6VDzXeGUsQ
699126028942245888	2016-02-15 07:00:09	#TransformingLives - the official TEDxPlaceDesNations photo album is here: https://t.co/YH9xLNahSV  #TEDxNations https://t.co/AT0L4eDSow
698899797227540480	2016-02-14 16:01:11	#TransformingLives - the official TEDxPlaceDesNations photo album is here: https://t.co/W5SCHOMhV2 #TEDxNations https://t.co/tov2bQyb0C
698855358811480066	2016-02-14 13:04:36	https://t.co/fFtFvHwEim  ITS SO #VALENTINES @The_IPO @KokoTeddy @UNGeneva @UN #TEDxNations #romance #WeLoveFarmers
698790389877178368	2016-02-14 08:46:26	UNGeneva: #TEDxNations - official photo gallery: https://t.co/xtJ3DwC2zB Were you watching? Share your photos! https://t.co/qISmqK866a
698789594628755456	2016-02-14 08:43:16	A dress that could shelter a family of #refugees.  #dress4ourtime by @ProfHelenStorey at #TEDxNations, #UN Geneva https://t.co/LNyxfZvYLf
698784138917236737	2016-02-14 08:21:36	UNGeneva: #TEDxNations - official photo gallery: https://t.co/E6RCAf4idc Were you watching? Share your photos! https://t.co/w7Ls3Muq7A
698780731825217536	2016-02-14 08:08:03	#TEDxNations - official photo gallery: https://t.co/Cd7ommKdIL Were you watching? Share your photos! https://t.co/UfEsXplWXF
698689763679801344	2016-02-14 02:06:35	UNGeneva: Behind the Scenes at #TEDxNations - photo gallery: https://t.co/5PkuZYEts9Were you watching? Share you… https://t.co/oUzmEXUuAA
698688708803960832	2016-02-14 02:02:23	UNGeneva: Behind the Scenes at #TEDxNations - photo gallery: https://t.co/vMGDPK0J8GWere you watching? Share you… https://t.co/pMFNquyUcB
698688141280956417	2016-02-14 02:00:08	Behind the Scenes at #TEDxNations - photo gallery: https://t.co/6B6GIF9HH6Were you watching? Share your photos! https://t.co/ZNhjVP0TFE
698622529229950978	2016-02-13 21:39:25	Cool: a #TEDxNations idea seen on #socialmedia continues to resonate online, thanks to @Refugees speaker @GerDuany. https://t.co/9ooIFFlZqJ
698541576289677313	2016-02-13 16:17:44	UNGeneva: A dress that could shelter a family of refugees.  #dress4ourtime by ProfHelenStorey at #TEDxNations, UN… https://t.co/fpW991PPlG
698540639135334400	2016-02-13 16:14:01	UNGeneva: A dress that could shelter a family of refugees.  #dress4ourtime by ProfHelenStorey at #TEDxNations, UN… https://t.co/aRsOa97eEm
698539648218324992	2016-02-13 16:10:05	A dress that could shelter a family of refugees.  #dress4ourtime by @ProfHelenStorey at #TEDxNations, UN Geneva https://t.co/ZPRjvHOTyU
698360947921047552	2016-02-13 04:19:59	The Computer Orchestra #TEDxNations in #Geneva conducted by @lauraperrenoud, @FragmentIn (Vine by @luefkens) https://t.co/OSX7gKIBvM
698282254859116545	2016-02-12 23:07:17	@realDonaldTrump look who loves our signs @Bizaster gettin mad props for his #TEDxNations sign #TedCruz #Trump2016 https://t.co/7RKsWizIuP
698272567145140224	2016-02-12 22:28:47	The TEDx speakers really did actually open my eyes to matters I knew nothing about #TEDxNations
698271689663193088	2016-02-12 22:25:18	I have #communication #fright https://t.co/b69S2YsW5J#JoeKowan #TEDTalks #TEDxNations #communicationmanagement #communicationclimate
698261064174141440	2016-02-12 21:43:05	@realDonaldTrump @Bizaster waiting in this long ass Trump line!!! #Trump2016 #CruzCrew #Cruz #TED2016 #TEDxNations https://t.co/ifqSTvDM2d
698259513737134082	2016-02-12 21:36:55	ungenevas Foto https://t.co/ZETpwrrR8p #TEDxNations #ungeneva Check the links to the #topics #refugees #health #disasters
698251842657087488	2016-02-12 21:06:26	Director-General @UNOG_DG  Feb 11Thanks for your personal welcome to #TEDxNations It was an inspirational event https://t.co/kWs2VFph6Q
698243656810156033	2016-02-12 20:33:55	Thanks #TEDxNations for a great event! #inspiration from brave &amp; commmitted speakers. #leadership #leaders #ideas  https://t.co/yZb3EuTPnP
698229641220218880	2016-02-12 19:38:13	Amazing #TEDxNations https://t.co/kSrsSA9prt
698228336682803208	2016-02-12 19:33:02	A Small Clip Form @refugees showcased at Geneva Swizerland Yesterday during #TEDxNations &amp; the… https://t.co/rB4m4kHNdi
698221820756017152	2016-02-12 19:07:09	Love this photo of Maestro @LauraPerrenoud of @FragmentIn conducting the Computer Orchestra  at #TEDxNations https://t.co/9CoY5L0GER
698221802724712448	2016-02-12 19:07:04	Everytime u forget that ur an #indian plz listen 2 @devduttmyth a living #Legend#TED2016 #TEDxNations #modern #mythology #indialove #salute
698212792550211584	2016-02-12 18:31:16	Missed TEDxPlaceDesNations y'day?Chk back on YouTube in a few days 4 a full video recap.In the meantime,chk out #TEDxNations v @unfoundation
698211178980511745	2016-02-12 18:24:51	Loved TEDx Transforming Lives!!Had a viewing party at West Hartford Connecticut at Westfield Academy! #TedxNations https://t.co/2kpqYtPbWo
698205135672078336	2016-02-12 18:00:51	#TransformingLives - the official TEDxPlaceDesNations photo album is here: https://t.co/gWL7ZYrIh2 #TEDxNations https://t.co/630m6CwrfH
698183719425875968	2016-02-12 16:35:44	Checkout these photos from yesterday's amazing #TEDxNations at @UNGeneva  https://t.co/PymBpNR7Fz
698183578132357120	2016-02-12 16:35:11	#TransformingLives - the official TEDxPlaceDesNations photo album is here: https://t.co/YH9xLNrThv #TEDxNations https://t.co/AT0L4eDSow
698173416403132416	2016-02-12 15:54:48	Im SO excited to hear makena's #TEDxNations speech. March 15 th :)
698168550914179073	2016-02-12 15:35:28	What can you do to end #sexualviolence in conflict areas? Coline Rapneau answers at #TEDxNations: https://t.co/Sv1nHjX916 via @TEDx #VAW
698138328835760128	2016-02-12 13:35:23	Missed TEDxPlaceDesNations yesterday? Check back on YouTube in a few days for a full video recap. In the meantime, check out #TEDxNations
