id	created_at	text	text_nolink	text_clean	text_clean_tokens	text_clean_stems
699885404229627904	2016-02-17 09:17:38	How does @ICRC work globally to address #sexualviolence in conflict? Learn more here: https://t.co/So5vbZAxPw  #TEDxNations via @PMeigeICRC	How does @ICRC work globally to address #sexualviolence in conflict? Learn more here:  #TEDxNations via @PMeigeICRC	How does ICRC work globally to address sexualviolence in conflict? Learn more here:  TEDxNations via PMeigeICRC	icrc work globally address sexualviolence conflict learn tedxnations via pmeigeicrc	icrc work global address sexualviol conflict learn tedxnat via pmeigeicrc
699858798765346817	2016-02-17 07:31:55	Great! #TEDxNations  https://t.co/N1fBXGfnyt	Great! #TEDxNations 	Great! TEDxNations 	great tedxnations	great tedxnat
699835678402555905	2016-02-17 06:00:02	The Computer Orchestra conducted by @LauraPerrenoud of @FragmentIn was one of the highlights at #TEDxNations https://t.co/1bHubwyUj7	The Computer Orchestra conducted by @LauraPerrenoud of @FragmentIn was one of the highlights at #TEDxNations 	The Computer Orchestra conducted by LauraPerrenoud of FragmentIn was one of the highlights at TEDxNations 	computer orchestra conducted lauraperrenoud fragmentin one highlights tedxnations	comput orchestra conduct lauraperrenoud fragmentin one highlight tedxnat
699708010113933312	2016-02-16 21:32:44	A bright day at the Palais des Nations- ideal conditions for hearing fresh new @TEDx ideas @ #TEDxNations! @UNGeneva https://t.co/huEESK3zAZ	A bright day at the Palais des Nations- ideal conditions for hearing fresh new @TEDx ideas @ #TEDxNations! @UNGeneva 	A bright day at the Palais des Nations- ideal conditions for hearing fresh new TEDx ideas  TEDxNations! UNGeneva 	bright day palais des nations ideal conditions hearing fresh new tedx ideas tedxnations ungeneva	bright day palai des nation ideal condit hear fresh new tedx idea tedxnat ungeneva
699703891164684289	2016-02-16 21:16:22	#Hawaii The Computer Orchestra #TEDxNations in #Geneva conducted by Laura Perrenoud, Fragment.in https://t.co/N0ZzEzk76z	#Hawaii The Computer Orchestra #TEDxNations in #Geneva conducted by Laura Perrenoud, Fragment.in 	Hawaii The Computer Orchestra TEDxNations in Geneva conducted by Laura Perrenoud, Fragment.in 	hawaii computer orchestra tedxnations geneva conducted laura perrenoud fragment.in	hawaii comput orchestra tedxnat geneva conduct laura perrenoud fragment.in
699473305527390209	2016-02-16 06:00:06	Use the power of #360video to discover a dress that could shelter a family of #refugees on display at #TEDxNations https://t.co/d6lRTmIYry	Use the power of #360video to discover a dress that could shelter a family of #refugees on display at #TEDxNations 	Use the power of 360video to discover a dress that could shelter a family of refugees on display at TEDxNations 	use power 360video discover dress could shelter family refugees display tedxnations	use power 360video discov dress could shelter famili refuge display tedxnat
698855358811480066	2016-02-14 13:04:36	https://t.co/fFtFvHwEim  ITS SO #VALENTINES @The_IPO @KokoTeddy @UNGeneva @UN #TEDxNations #romance #WeLoveFarmers	 ITS SO #VALENTINES @The_IPO @KokoTeddy @UNGeneva @UN #TEDxNations #romance #WeLoveFarmers	 ITS SO VALENTINES The_IPO KokoTeddy UNGeneva UN TEDxNations romance WeLoveFarmers	valentines the_ipo kokoteddy ungeneva un tedxnations romance welovefarmers	valentin the_ipo kokoteddi ungeneva un tedxnat romanc welovefarm
698622529229950978	2016-02-13 21:39:25	Cool: a #TEDxNations idea seen on #socialmedia continues to resonate online, thanks to @Refugees speaker @GerDuany. https://t.co/9ooIFFlZqJ	Cool: a #TEDxNations idea seen on #socialmedia continues to resonate online, thanks to @Refugees speaker @GerDuany. 	Cool: a TEDxNations idea seen on socialmedia continues to resonate online, thanks to Refugees speaker GerDuany. 	cool tedxnations idea seen socialmedia continues resonate online thanks refugees speaker gerduany	cool tedxnat idea seen socialmedia continu reson onlin thank refuge speaker gerduani
698360947921047552	2016-02-13 04:19:59	The Computer Orchestra #TEDxNations in #Geneva conducted by @lauraperrenoud, @FragmentIn (Vine by @luefkens) https://t.co/OSX7gKIBvM	The Computer Orchestra #TEDxNations in #Geneva conducted by @lauraperrenoud, @FragmentIn (Vine by @luefkens) 	The Computer Orchestra TEDxNations in Geneva conducted by lauraperrenoud, FragmentIn (Vine by luefkens) 	computer orchestra tedxnations geneva conducted lauraperrenoud fragmentin vine luefkens	comput orchestra tedxnat geneva conduct lauraperrenoud fragmentin vine luefken
698272567145140224	2016-02-12 22:28:47	The TEDx speakers really did actually open my eyes to matters I knew nothing about #TEDxNations	The TEDx speakers really did actually open my eyes to matters I knew nothing about #TEDxNations	The TEDx speakers really did actually open my eyes to matters I knew nothing about TEDxNations	tedx speakers really actually open eyes matters knew nothing tedxnations	tedx speaker realli actual open eye matter knew noth tedxnat
