	cluster
0	2
1	7
2	7
3	7
4	7
5	7
6	7
7	7
8	7
9	6
10	3
11	7
12	7
13	7
14	7
15	7
16	7
17	7
18	7
19	6
20	7
21	7
22	7
23	7
24	7
25	6
26	6
27	6
28	6
29	7
30	7
31	7
32	7
33	7
34	7
35	7
36	7
37	7
38	7
39	7
40	7
41	7
42	3
43	7
44	7
45	7
46	7
47	2
48	7
49	7
50	7
51	5
52	6
53	6
54	1
55	1
56	1
57	1
58	1
59	7
60	7
61	7
62	7
63	7
64	7
65	7
66	7
67	7
68	7
69	7
70	7
71	7
72	7
73	7
74	7
75	7
76	7
77	7
78	7
79	7
80	3
81	7
82	7
83	7
84	7
85	7
86	7
87	7
88	7
89	7
90	7
91	7
92	7
93	1
94	1
95	7
96	1
97	1
98	1
99	7
100	1
101	1
102	1
103	0
104	1
105	7
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	7
117	1
118	7
119	7
120	7
121	3
122	3
123	3
124	7
125	7
126	7
127	5
128	7
129	7
130	5
131	7
132	5
133	0
134	7
135	5
136	7
137	5
138	7
139	7
140	7
141	7
142	7
143	7
144	7
145	7
146	7
147	7
148	7
149	1
150	6
151	1
152	1
153	7
154	7
155	7
156	7
157	3
158	7
159	1
160	7
161	3
162	1
163	7
164	7
165	1
166	7
167	7
168	0
169	7
170	7
171	7
172	0
173	3
174	7
175	7
176	6
177	3
178	7
179	7
180	0
181	7
182	7
183	7
184	7
185	7
186	7
187	7
188	7
189	7
190	1
191	7
192	0
193	7
194	6
195	7
196	7
197	7
198	7
199	7
200	7
201	7
202	7
203	7
204	7
205	7
206	7
207	7
208	1
209	7
210	7
211	0
212	7
213	7
214	1
215	7
216	7
217	1
218	3
219	3
220	7
221	3
222	7
223	6
224	7
225	7
226	7
227	7
228	7
229	3
230	6
231	3
232	7
233	7
234	7
235	7
236	7
237	3
238	7
239	7
240	7
241	7
242	7
243	7
244	7
245	7
246	7
247	6
248	7
249	7
250	7
251	7
252	7
253	7
254	7
255	7
256	7
257	7
258	7
259	6
260	7
261	7
262	1
263	7
264	7
265	7
266	7
267	7
268	7
269	7
270	7
271	7
272	7
273	7
274	7
275	7
276	7
277	7
278	3
279	7
280	7
281	7
282	7
283	3
284	7
285	7
286	6
287	7
288	3
289	7
290	7
291	7
292	7
293	0
294	7
295	7
296	7
297	7
298	7
299	7
300	7
301	7
302	7
303	3
304	6
305	7
306	6
307	7
308	7
309	7
310	7
311	2
312	7
313	7
314	7
315	7
316	7
317	7
318	7
319	1
320	7
321	7
322	7
323	0
324	7
325	7
326	6
327	1
328	7
329	7
330	7
331	3
332	7
333	6
334	7
335	0
336	1
337	1
338	6
339	7
340	7
341	7
342	7
343	0
344	3
345	0
346	7
347	7
348	6
349	7
350	1
351	7
352	3
353	0
354	0
355	0
356	7
357	7
358	0
359	0
360	7
361	7
362	7
363	1
364	7
365	7
366	7
367	7
368	6
369	7
370	7
371	7
372	0
373	7
374	0
375	7
376	7
377	7
378	7
379	7
380	7
381	7
382	7
383	0
384	7
385	7
386	1
387	7
388	0
389	7
390	6
391	7
392	7
393	0
394	7
395	7
396	0
397	7
398	7
399	7
400	7
401	1
402	7
403	0
404	0
405	0
406	0
407	0
408	0
409	7
410	7
411	0
412	6
413	7
414	0
415	0
416	3
417	7
418	4
419	2
420	7
421	0
422	6
423	1
424	7
425	7
426	0
427	7
428	7
429	7
430	0
431	1
432	3
433	7
434	6
435	7
436	7
437	6
438	7
439	3
440	6
441	7
442	6
443	6
444	7
445	1
446	6
447	6
448	3
449	7
450	3
451	6
452	7
453	6
454	0
455	6
456	6
457	6
458	6
459	6
460	6
461	6
462	6
463	6
464	6
465	7
466	7
467	7
468	6
469	7
470	1
471	7
472	6
473	7
474	6
475	7
476	6
477	1
478	6
479	6
480	7
481	1
482	6
483	1
484	6
485	6
486	6
487	6
488	6
489	6
490	6
491	6
492	6
493	7
494	1
495	7
496	6
497	6
498	7
499	7
500	6
501	6
502	1
503	6
504	6
505	6
506	7
507	6
508	1
509	6
510	7
511	7
512	1
513	6
514	0
515	6
516	6
517	6
518	6
519	6
520	7
521	3
522	6
523	6
524	6
525	7
526	7
527	6
528	1
529	7
530	1
531	7
532	7
533	7
534	3
535	4
536	1
537	6
538	7
539	7
540	2
541	7
542	7
543	1
544	7
545	1
546	6
547	1
548	7
549	1
550	6
551	7
552	1
553	7
554	1
555	3
556	1
557	7
558	7
559	1
560	3
561	3
562	7
563	1
564	7
565	5
566	3
567	3
568	4
569	6
570	3
571	7
572	4
573	5
574	1
575	7
576	3
577	3
578	7
579	7
580	1
581	3
582	7
583	7
584	3
585	7
586	3
587	1
588	3
589	3
590	7
591	7
592	7
593	1
