id	created_at	text	text_nolink	text_clean	text_clean_tokens	text_clean_stems	count_links	count_hashtags	count_mentions	count_words	count_characters	count_non_characters	count_upper	bool_question	bool_elongation	bool_ellipsis	t_distinct	t_sum	tfidf_sum	tfidf_mean	pos_cnt	nes_cnt	pos_data	nes_data	pos_cnt_NN	pos_cnt_RP	pos_cnt_POS	pos_cnt_VB	pos_cnt_(	pos_cnt_``	pos_cnt_''	pos_cnt_WP	pos_cnt_VBD	pos_cnt_NNPS	pos_cnt_NNP	pos_cnt_.	pos_cnt_JJR	pos_cnt_CC	pos_cnt_EX	pos_cnt_PDT	pos_cnt_DT	pos_cnt_WRB	pos_cnt_PRP$	pos_cnt_)	pos_cnt_SYM	pos_cnt_RBR	pos_cnt_VBP	pos_cnt_FW	pos_cnt_CD	pos_cnt_JJ	pos_cnt_$	pos_cnt_WDT	pos_cnt_JJS	pos_cnt_VBN	pos_cnt_RBS	pos_cnt_IN	pos_cnt_,	pos_cnt_UH	pos_cnt_PRP	pos_cnt_VBG	pos_cnt_TO	pos_cnt_VBZ	pos_cnt_MD	pos_cnt_NNS	pos_cnt_RB	pos_cnt_:	ne_cnt_PERSON	ne_cnt_GSP	ne_cnt_ORGANIZATION	ne_cnt_GPE	ne_cnt_LOCATION
699885404229627904	2016-02-17 09:17:38	How does @ICRC work globally to address #sexualviolence in conflict? Learn more here: https://t.co/So5vbZAxPw  #TEDxNations via @PMeigeICRC	How does @ICRC work globally to address #sexualviolence in conflict? Learn more here:  #TEDxNations via @PMeigeICRC	How does ICRC work globally to address sexualviolence in conflict? Learn more here:  TEDxNations via PMeigeICRC	how icrc work globally address sexualviolence conflict learn tedxnations via pmeigeicrc	how icrc work global address sexualviol conflict learn tedxnat via pmeigeicrc	1	2	2	13	139	0	2	1	0	0	10.0	10.0	3.035896846134903	0.30358968461349034	18	1	{'NN': 2, 'IN': 2, 'VB': 2, 'RB': 2, 'NNP': 3, '.': 1, 'TO': 1, 'VBZ': 1, 'NNS': 1, 'JJR': 1, 'WRB': 1, ':': 1}	{'ORGANIZATION': 1}	2.0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	2.0	0	0	0	0	2.0	0	0	0	0	3.0	1.0	1.0	1.0	0	1.0	0	0	0	1.0	1.0	0	0	0	1.0	0	0
699882415788068864	2016-02-17 09:05:45	Missed #TEDxNations? All 11 talks &amp; 2 performances will be posted at https://t.co/1JLXMCY9Qr soon. Stay tuned! https://t.co/Kojc5QrQpg	Missed #TEDxNations? All 11 talks &amp; 2 performances will be posted at  soon. Stay tuned! 	Missed TEDxNations? All 11 talks  & ; 2 performances will be posted at  soon. Stay tuned! 	missed tedxnations all 11 talks performances posted soon stay tuned	miss tedxnat all 11 talk perform post soon stay tune	2	1	0	16	138	0	3	1	0	0	8.0	8.0	2.6586221235539664	0.3323277654442458	19	2	{'VBN': 2, 'IN': 1, 'VB': 1, 'VBD': 1, 'NNS': 3, 'NNP': 1, '.': 3, 'RB': 1, 'MD': 1, 'CC': 1, 'CD': 2, 'DT': 1, ':': 1}	{'PERSON': 1, 'ORGANIZATION': 1}	0	0	1.0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	2.0	0	1.0	0	0	0	1.0	1.0	1.0	0	0	0	1.0	3.0	0	0	1.0	3.0	0	0	1.0	0	1.0	0	1.0	0	1.0	0	0
699858798765346817	2016-02-17 07:31:55	Great! #TEDxNations  https://t.co/N1fBXGfnyt	Great! #TEDxNations 	Great! TEDxNations 	great tedxnations	great tedxnat	1	1	0	2	44	0	1	0	0	0	2.0	2.0	1.1884383506662803	0.5942191753331402	3	1	{'.': 1, 'NN': 1, 'NNS': 1}	{'GPE': 1}	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0
699835678402555905	2016-02-17 06:00:02	The Computer Orchestra conducted by @LauraPerrenoud of @FragmentIn was one of the highlights at #TEDxNations https://t.co/1bHubwyUj7	The Computer Orchestra conducted by @LauraPerrenoud of @FragmentIn was one of the highlights at #TEDxNations 	The Computer Orchestra conducted by LauraPerrenoud of FragmentIn was one of the highlights at TEDxNations 	the computer orchestra conducted lauraperrenoud fragmentin one highlights tedxnations	the comput orchestra conduct lauraperrenoud fragmentin one highlight tedxnat	1	1	2	13	132	0	3	0	0	0	9.0	9.0	2.84982866795157	0.3166476297723967	14	1	{'VBN': 1, 'IN': 3, 'NNS': 2, 'VBD': 1, 'CD': 1, 'DT': 2, 'NNP': 4}	{'ORGANIZATION': 1}	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	3.0	0	0	0	0	0	1.0	0	0	0	4.0	0	0	0	0	2.0	0	0	2.0	0	0	0	0	0	1.0	0	0
699833035265413120	2016-02-17 05:49:32	1,000 ppl in the audience21 viewing parties worldwide3,000+ppl watching liveThank u all!#TEDxNations https://t.co/8TTlHEey37 v @UNGeneva	1,000 ppl in the audience21 viewing parties worldwide3,000+ppl watching liveThank u all!#TEDxNations  v @UNGeneva	1,000 ppl in the audience21 viewing parties worldwide3,000+ppl watching liveThank u all!TEDxNations  v UNGeneva	1,000 ppl audience 21 viewing parties worldwide 3,000+ ppl watching livethank tedxnations ungeneva	1,000 ppl audienc 21 view parti worldwid 3,000+ ppl watch livethank tedxnat ungeneva	1	0	1	14	136	0	5	0	0	0	11.0	13.0	2.9179070339718103	0.2652642758156191	16	1	{'NN': 3, 'IN': 2, 'NNS': 2, 'VBG': 2, 'NNP': 1, '.': 1, 'VBP': 2, 'CD': 1, 'DT': 2}	{'ORGANIZATION': 1}	3.0	0	0	2.0	0	0	0	0	0	0	2.0	0	0	1.0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	2.0	0	0	2.0	0	0	0	0	0	1.0	0	0
699708010113933312	2016-02-16 21:32:44	A bright day at the Palais des Nations- ideal conditions for hearing fresh new @TEDx ideas @ #TEDxNations! @UNGeneva https://t.co/huEESK3zAZ	A bright day at the Palais des Nations- ideal conditions for hearing fresh new @TEDx ideas @ #TEDxNations! @UNGeneva 	A bright day at the Palais des Nations- ideal conditions for hearing fresh new TEDx ideas  TEDxNations! UNGeneva 	bright day palais des nations ideal conditions hearing fresh new tedx ideas tedxnations ungeneva	bright day palai des nation ideal condit hear fresh new tedx idea tedxnat ungeneva	1	1	3	16	140	0	3	0	0	0	14.0	14.0	3.5698097223316925	0.254986408737978	19	2	{'NN': 2, 'IN': 2, 'VBG': 1, 'NNP': 4, '.': 1, 'VBZ': 1, 'NNS': 2, 'JJ': 4, 'DT': 2}	{'ORGANIZATION': 1, 'GPE': 1}	2.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	4.0	1.0	0	1.0	0	2.0	0	0	2.0	0	0	0	0	0	1.0	1.0	0
699703891164684289	2016-02-16 21:16:22	#Hawaii The Computer Orchestra #TEDxNations in #Geneva conducted by Laura Perrenoud, Fragment.in https://t.co/N0ZzEzk76z	#Hawaii The Computer Orchestra #TEDxNations in #Geneva conducted by Laura Perrenoud, Fragment.in 	Hawaii The Computer Orchestra TEDxNations in Geneva conducted by Laura Perrenoud, Fragment.in 	hawaii the computer orchestra tedxnations geneva conducted laura perrenoud fragment.in	hawaii the comput orchestra tedxnat geneva conduct laura perrenoud fragment.in	1	3	0	10	120	0	6	0	0	0	9.0	9.0	2.8165416524581963	0.31294907249535514	13	3	{'VBN': 1, 'IN': 2, ',': 1, 'DT': 1, 'NNP': 8}	{'PERSON': 1, 'ORGANIZATION': 1, 'GPE': 1}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	2.0	0	0	0	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	1.0	1.0	0
699685448315047936	2016-02-16 20:03:05	1,000 people in the audience21 viewing parties worldwide3,000+ people watching liveThank you all!#TEDxNations https://t.co/LlrlAlxmfJ	1,000 people in the audience21 viewing parties worldwide3,000+ people watching liveThank you all!#TEDxNations 	1,000 people in the audience21 viewing parties worldwide3,000+ people watching liveThank you all!TEDxNations 	1,000 people audience 21 viewing parties worldwide 3,000+ people watching livethank tedxnations	1,000 peopl audienc 21 view parti worldwid 3,000+ peopl watch livethank tedxnat	1	0	0	14	133	0	5	0	0	0	10.0	12.0	2.866697217711174	0.2866697217711174	14	1	{'NN': 2, 'IN': 1, 'NNS': 3, 'PRP': 1, 'VBG': 2, '.': 1, 'VBP': 1, 'CD': 1, 'DT': 2}	{'ORGANIZATION': 1}	2.0	0	0	2.0	0	0	0	1.0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	3.0	0	0	2.0	0	0	0	0	0	1.0	0	0
699587486444552192	2016-02-16 13:33:49	The Alliance of Civilizations and Human Rights room at @UNGeneva illuminated for #TEDxNations. Photo @RaianiSibien https://t.co/xsmEwlW8QY	The Alliance of Civilizations and Human Rights room at @UNGeneva illuminated for #TEDxNations. Photo @RaianiSibien 	The Alliance of Civilizations and Human Rights room at UNGeneva illuminated for TEDxNations. Photo RaianiSibien 	the alliance civilizations human rights room ungeneva illuminated tedxnations photo raianisibien	the allianc civil human right room ungeneva illumin tedxnat photo raianisibien	1	1	2	13	138	0	6	0	0	0	10.0	10.0	2.981118202830539	0.2981118202830539	16	3	{'.': 1, 'NN': 1, 'IN': 3, 'CC': 1, 'VBD': 1, 'DT': 1, 'NNP': 8}	{'PERSON': 1, 'ORGANIZATION': 1, 'GPE': 1}	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	1.0	0	0	0	8.0	1.0	0	0	1.0	0	0	0	1.0	0	0	0	1.0	0	1.0	1.0	0
699473305527390209	2016-02-16 06:00:06	Use the power of #360video to discover a dress that could shelter a family of #refugees on display at #TEDxNations https://t.co/d6lRTmIYry	Use the power of #360video to discover a dress that could shelter a family of #refugees on display at #TEDxNations 	Use the power of 360video to discover a dress that could shelter a family of refugees on display at TEDxNations 	use power 360video discover dress could shelter family refugees display tedxnations	use power 360video discov dress could shelter famili refuge display tedxnat	1	3	0	18	138	0	1	0	0	0	10.0	10.0	3.013734611536663	0.3013734611536663	18	1	{'NN': 4, 'IN': 3, 'VB': 3, 'NNS': 2, 'TO': 1, 'MD': 1, 'CD': 1, 'WDT': 1, 'DT': 2}	{'ORGANIZATION': 1}	4.0	0	3.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	3.0	1.0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	2.0	0	0	2.0	0	0	0	0	0	1.0	0	0
699453519233945600	2016-02-16 04:41:28	Watch #TEDxNations live now: https://t.co/7cVGVAIV7M(from 15:00 CET, 11 February) https://t.co/2VMyuaLBb5	Watch #TEDxNations live now:  15:00 CET, 11 February) 	Watch TEDxNations live now:  15:00 CET, 11 February) 	watch tedxnations live 15:00 cet 11 february	watch tedxnat live 15:00 cet 11 februari	2	1	0	9	105	0	5	0	0	0	8.0	8.0	2.6383260473397927	0.3297907559174741	11	2	{')': 1, ',': 1, 'NNP': 3, 'VBP': 1, 'CD': 2, 'JJ': 1, 'RB': 1, ':': 1}	{'PERSON': 1, 'ORGANIZATION': 1}	0	0	0	0	0	0	0	0	0	0	1.0	0	0	2.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	3.0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.0	0	0
