id	created_at	text
714751860767375360	2016-03-29 09:51:37	Foreign ministry denies it told the Guardian that the EgyptAir hijacker is an idiot, or that they spoke to Guardian.
714751859903307776	2016-03-29 09:51:37	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... https://t.co/hQtNPHt3F1
714751857873272832	2016-03-29 09:51:37	#MS181 hijacker did not have gun on him: Egypt aviation minister #EgyptAir https://t.co/Wl3qFqRn8I https://t.co/kMRsLtdjO7
714751857869070336	2016-03-29 09:51:37	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... https://t.co/tIL2YDmhoQ
714751857290309633	2016-03-29 09:51:36	#EgyptAir #hijacked, passengers freed https://t.co/qecEZeIEvI https://t.co/WBuZML1K0x #newsupdate
714751857239965700	2016-03-29 09:51:36	If I was the ex-wife ; I would've thought it was a very romantic gesture to win me back. #youhijackedmyheart #EgyptAir #EgyptAirHijack
714751854492655616	2016-03-29 09:51:36	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has be... https://t.co/AcQCqCvq9r Source: WSJ
714751853066657792	2016-03-29 09:51:35	EgyptAir Jetliner Hijacked, Some Passengers Held https://t.co/LaSVWqI4Xf #worldnews #wsj
714751852466855937	2016-03-29 09:51:35	EgyptAir hijack ‘not terrorist incident’ https://t.co/ewWT8ZUSQo https://t.co/XBGJsfgxQo
714751851170762752	2016-03-29 09:51:35	#EgyptAir i wish everyone would calm the fuck down too many people have died and for what absolutely nothing thats what
714751850566840321	2016-03-29 09:51:35	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... https://t.co/nvDZcuLfd0
714751847085514752	2016-03-29 09:51:34	Dr love will you mind explaining to your patients what good do women have that make men go crazt #EgyptAir
714751842715090945	2016-03-29 09:51:33	"""You had me at Ladiz &amp; Jantilman"" #egyptair"
714751842685689856	2016-03-29 09:51:33	EgyptAir hijack 'not terrorist incident'
714751842660589572	2016-03-29 09:51:33	EgyptAir hijack 'not terrorist incident'
714751842362781696	2016-03-29 09:51:33	#EgyptAir aircraft hijacked by ‘love sick’ professor demanding to see Cypriot ex-wife https://t.co/Hyu6ztBUXb
714751839300927488	2016-03-29 09:51:32	"""Terrorists are crazy but they aren't stupid. This guy is"" - #Egypt MFA #EgyptAir #EgyptAirHijack #egyptplane  https://t.co/ZPyWYZWOut"
714751835022696448	2016-03-29 09:51:31	Today's hot story at Daily News Desk: Hijacked EgyptAir jet lands in Cyprus - C… https://t.co/NPMYZsM1bX, see more https://t.co/NhUX2MvYCL
714751833248555009	2016-03-29 09:51:31	UPDATE: 4 crew, 3 passengers still on hijacked #EgyptAir in Cyprus. Estranged wife awaited  https://t.co/eUoty1JQ0g https://t.co/eh4iy7tqXM
714751832296435712	2016-03-29 09:51:30	Top story: EgyptAir hijack: Most passengers freed at Larnaca airport - BBC News https://t.co/Waxnezaf5P, see more https://t.co/yqIH5uSu7R
714751830480257024	2016-03-29 09:51:30	Imagine, ex- wife walks in and kisses pilot held hostage instead. 😝  #EgyptAir
714751829054251009	2016-03-29 09:51:30	"except this ""idiot"" definitely did create and spread terror. idiot-terrorist. #EgyptAir"
714751828559265792	2016-03-29 09:51:30	Behind every successful man, there is a woman. #EgyptAir #LoveWins
714751825950482433	2016-03-29 09:51:29	EgyptAir hijacker identified, asks for Cyprus asylum - https://t.co/tDfVKrJg5H  #Foreign #Famzn #Nigeria #News
714751822762741760	2016-03-29 09:51:28	okay what happened with #EgyptAir literally wasn't a terrorist act, let alone one in the name of religion. it was literally just a crime.
714751817142378496	2016-03-29 09:51:27	#EgyptAir? Me -  Vet Prof, How did u make suicide belt? Prof - Sisi was threatening with it in #Egypt election. I stole it and kept it.
714751812755185664	2016-03-29 09:51:26	Egyptian presidency spokesman says #EgyptAir hijacker is Egyptian. He earlier said hijacker was Egyptian-American. https://t.co/DjAKLic3uL
714751811547242496	2016-03-29 09:51:25	Correction: Egyptians changed the hijacker's name from Ibrahim Samaha to Seif El Din Mostafa  #EgyptAir
714751810645467137	2016-03-29 09:51:25	EgyptAir hijacker at Cyprus airport 'wants to contact ex-wife' – live https://t.co/pDTJgfV4hH
714751810565705728	2016-03-29 09:51:25	Hijacked EgyptAir jet lands in Cyprus - https://t.co/qeALrLWe3w https://t.co/EbjMCoT3OS, see more https://t.co/NRWPr5UcAC
714751807810093056	2016-03-29 09:51:25	#MS181 #EgyptAir another misnomer: if he a psychiatric  case man wanted to see his estranged ex wife on Cyprus why requesting Turkey first?
714751807248007168	2016-03-29 09:51:24	#EgyptAir Egypt plane hijacked - latest - BBC News - https://t.co/Jz4lJKFFXS https://t.co/s31sVViJ9A
714751804681138176	2016-03-29 09:51:24	Web Traffic generator, REAL traffic to your website! https://t.co/pgP1Vuyz2H #OnlineBusiness #SEO EgyptAir Jet Hijacked, Diverted ...
714751801824817152	2016-03-29 09:51:23	it's too early to fool around before 1st April. #EgyptAir
714751799765430272	2016-03-29 09:51:23	EgyptAir hijack: Most passengers freed #USRC /bbc https://t.co/O1YwfuRB6b
714751798679052289	2016-03-29 09:51:22	This feels like a sequel to Harold and Kumar #EgyptAir
714751796976164864	2016-03-29 09:51:22	Top story: Hijacked EgyptAir jet lands in Cyprus - https://t.co/4CgDQU9xum https://t.co/BsXVznuLmU, see more https://t.co/cocUtF6OBz
714751795923447808	2016-03-29 09:51:22	Dude couldn't afford the ticket from Alexandria to Cyprus. #EgyptAir
714751794413486084	2016-03-29 09:51:21	Thanks God Cyprus says EgyptAir hijacking is not something about terrorism. But likely about ex-wife-husband relationship
714751794321211392	2016-03-29 09:51:21	EgyptAir hijack ‘not terrorist incident’ https://t.co/0LimN7dsGj https://t.co/n9oHkLuSpZ
714751793683697664	2016-03-29 09:51:21	Super relieved with the way the #EgyptAir  scenario seems to be playing out. Nobody's hurt and it is most certainly not 'terror related'
714751787631251456	2016-03-29 09:51:20	Love with wife..............level....................Hijacks planeBravo#EgyptAir
714751786645635073	2016-03-29 09:51:20	IF NOT, for any other reason, this man should be arrested on the grounds of setting the LOVE standards too high. #EgyptAir
714751784414277634	2016-03-29 09:51:19	May be the idiot is high on weed :) #EgyptAir https://t.co/3d3Jvx5GuX
714751783856431105	2016-03-29 09:51:19	Here is the latest picture of the hijacker of #EgyptAir    https://t.co/KGBoERchQN
714751780098277376	2016-03-29 09:51:18	"Top story: EGYPTAIR on Twitter: ""Our flight MS181 is officially hijacked. we'll… https://t.co/mkpoJdsNJi, see more https://t.co/gzNN03oBjr"
714751779087495168	2016-03-29 09:51:18	BREAKING: Seven people remain on EgyptAir plane : Egyptian minister - https://t.co/Xz1RNPmoJE https://t.co/KJ24RnzyZb
714751778731008000	2016-03-29 09:51:18	@nbstv how hard is it to report accurately? https://t.co/Uzdj9Ql8Fe
714751773752365056	2016-03-29 09:51:16	#EgyptAirGet your relationship back to hijack a plane 😂😂 https://t.co/pRlj6FIt4b
714751770061316097	2016-03-29 09:51:16	#EgyptAir still a better love story than twilight.
714751769864179713	2016-03-29 09:51:16	Egypt Plane Hijack: EgyptAir hijacker is university professor of veterinary medicine https://t.co/jNMMCZgtm8
714751767406362624	2016-03-29 09:51:15	#EgyptAir #Hijacked now many wives are gonging to ask this question... https://t.co/OzHACrzuQH
714751764214505472	2016-03-29 09:51:14	#EgyptAir @BBCBreaking  not a terrorist incident, so glad the people still on that plane are not terrified terrorised or suffering terror
714751761316192257	2016-03-29 09:51:14	Only 3 passengers left and 4 crew #EgyptAir
714751760401870850	2016-03-29 09:51:13	Be calm #EgyptAir
714751759810428928	2016-03-29 09:51:13	BREAKING: #EgyptAir hijacker is an Egyptian-American dual citizen named Ibrahim Samaha, Egyptian... https://t.co/sqCUKoUau9 via @CNN
714751759160320000	2016-03-29 09:51:13	EgyptAir flight MS181 hijacked, diverted to Cyprus https://t.co/qbtKBsC2JM
714751758946447360	2016-03-29 09:51:13	All the EgyptAir hostages are free and the hijacker is the only one in the plane  https://t.co/tFIyFJQ9Ic https://t.co/cdMPiiKcHE
714751756979318785	2016-03-29 09:51:12	#EgyptAir still waiting for them to blame this incident on @realDonaldTrump 🇺🇸😆 #trump2016 https://t.co/pwZrBNYZtP
714751756308246528	2016-03-29 09:51:12	People joking about #EgyptAir situation I'm sure it wasn't funny for those on board. Nor is it funny how easy it was for him to 'hijack'
714751749437923329	2016-03-29 09:51:11	Roses are redViolets are blueI've hijacked a plane✈To be with youThe world has officially gone mad.Love is love :) #EgyptAir
714751749228261376	2016-03-29 09:51:11	Hijacked #EgyptAir flight stands at #larnacaAirport airport in #Cyprus #Larnaca   #EgyptAirHijack https://t.co/goMV8LGgwR
714751747491762176	2016-03-29 09:51:10	We're getting new details on the hijacked plane situation: https://t.co/3Mz1k7nD5O
714751747290501120	2016-03-29 09:51:10	Please next time hijack a gondola in Venice for your future-ex-wife #egyptair #EgyptAirHijack
714751745738608640	2016-03-29 09:51:10	While most definitions of terrorism say there needs to be a political element, if this guy wants asylum, that's political. #EgyptAir
714751743356178432	2016-03-29 09:51:09	Love is in the AIR. RIP common sense 😒😒.. Prayers are with all the passengers who are suffering cuz of this coward act #EgyptAir
714751738486587392	2016-03-29 09:51:08	[TheTrent] EgyptAir Flight 181: Passenger Wearing Suicide Bomb Hijacks Plane To Cairo [UPDATES] https://t.co/vXeW72WaaR
714751737152843778	2016-03-29 09:51:08	"Joey Barton brands EgyptAir hijacker a ""k**bhead, whatever his reasoning"" in Twitter… https://t.co/tGjqLwbAci #mirror"
714751736263680000	2016-03-29 09:51:08	"#egyptair hijacker to crew: ""Oh man, if this doesn't show her what a good husband I am I think we can all say romance is officially dead."""
714751733017231360	2016-03-29 09:51:07	EgyptAir hijack 'not terrorist incident' - https://t.co/yu8LD6czcX https://t.co/IeOidks5dK
714751732186750976	2016-03-29 09:51:07	EgyptAir plane hijacked to Cyprus, most passengers freed https://t.co/FOyKMDj1DF
714751732098723841	2016-03-29 09:51:07	EgyptAir hijacking ‘not terrorism-related’: Cyprus president https://t.co/2HFzF0FkPl https://t.co/1E4jfO5hxt
714751730785853441	2016-03-29 09:51:06	There were times when hijacking the planewas crime not Romance. Good Old Days. #EgyptAir
714751730492313600	2016-03-29 09:51:06	Middle East News Now! By @nassramethod EgyptAir hijack: Most passengers freed a… https://t.co/ZQbUxbt4GR, see more https://t.co/DSqSDNlPvC
714751730492313600	2016-03-29 09:51:06	Middle East News Now! By @nassramethod EgyptAir hijack: Most passengers freed a… https://t.co/ZQbUxbt4GR, see more https://t.co/DSqSDNlPvC
714751728588099584	2016-03-29 09:51:06	#YourNewsTweet -  LIVE UPDATES: Hijacker is Egyptian, official says https://t.co/YqYHw067xO
714751727585595393	2016-03-29 09:51:05	Its' scary to bring humor to #terror attacks, men please stop making the world all about u! Seriously 😒 #EgyptAir #Drama
714751727464026112	2016-03-29 09:51:05	Biggest Facepalm for Terrorists #EgyptAir https://t.co/6nbmIE8zEj
714751725924708353	2016-03-29 09:51:05	EgyptAir plane hijacked, flown to Cyprus after passenger claims to have bomb belt | Fox News https://t.co/zvD1UTTCmN
714751725240991745	2016-03-29 09:51:05	All EgyptAir hijack hostages released except crew and four 'foreigners' https://t.co/6A2l5TYg73
714751725102612480	2016-03-29 09:51:05	Love is in the #Egyptair, everywhere I book a flight
714751718886666240	2016-03-29 09:51:03	there is that moron who said the hijacker is a muslim brotherhood member, hold my tea mug while I laugh at you #EgyptAir
714751716797841408	2016-03-29 09:51:03	BREAKING NEWS: HIJACKED EGYPT PLANE FLOWN TO CYPRUS, FOUR FOREIGNERS HELD ON BOARD https://t.co/o58aWhgyE6
714751715967442948	2016-03-29 09:51:03	Roses r redViolets r blueI hijacked a planeTo be with uNow, they're asking to pay for fuelMy love where r u?#EgyptAir #EgyptAirHijack
714751714080006144	2016-03-29 09:51:02	Civil Aviation Ministry spokesman Ihab Raslan tells media they doubt the hijacker has any explosives. #EgyptAir
714751709407539201	2016-03-29 09:51:01	BREAKING: #EgyptAir hijacker is an Egyptian-American dual citizen named Ibrahim Samaha, Egyptian... https://t.co/vd3WlO7qJN via @CNN
714751709084561408	2016-03-29 09:51:01	Passengers very casually walking away from hijacked #EgyptAir with hand luggage.
714751707062865920	2016-03-29 09:51:01	Its not Ibrahim Samaha, Hijacker is Seif El Din Mustafa, just to deliver a letter to ex-wife #EgyptAir https://t.co/ElEyZC7mtY
714751704718249984	2016-03-29 09:51:00	Man, I can't wait to read the content of that letter #EgyptAir
714751704554713090	2016-03-29 09:51:00	Correction: #EgyptAir flight MS181 . Non terror related. hijacker demands to see his estranged wife 7 people  remain onboard
