id	created_at	text	text_nolink	text_clean	text_clean_tokens	text_clean_stems
714751860767375360	2016-03-29 09:51:37	Foreign ministry denies it told the Guardian that the EgyptAir hijacker is an idiot, or that they spoke to Guardian.	Foreign ministry denies it told the Guardian that the EgyptAir hijacker is an idiot, or that they spoke to Guardian.	Foreign ministry denies it told the Guardian that the EgyptAir hijacker is an idiot, or that they spoke to Guardian.	foreign ministry denies told guardian egyptair hijacker idiot spoke guardian	foreign ministri deni told guardian egyptair hijack idiot spoke guardian
714751859903307776	2016-03-29 09:51:37	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... https://t.co/hQtNPHt3F1	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... 	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... 	egyptair jetliner hijacked passengers held egyptair plane 64 people board hijacked	egyptair jetlin hijack passeng held egyptair plane 64 peopl board hijack
714751857873272832	2016-03-29 09:51:37	#MS181 hijacker did not have gun on him: Egypt aviation minister #EgyptAir https://t.co/Wl3qFqRn8I https://t.co/kMRsLtdjO7	#MS181 hijacker did not have gun on him: Egypt aviation minister #EgyptAir  	MS181 hijacker did not have gun on him: Egypt aviation minister EgyptAir  	ms181 hijacker gun egypt aviation minister egyptair	ms181 hijack gun egypt aviat minist egyptair
714751857869070336	2016-03-29 09:51:37	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... https://t.co/tIL2YDmhoQ	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... 	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... 	egyptair jetliner hijacked passengers held egyptair plane 64 people board hijacked	egyptair jetlin hijack passeng held egyptair plane 64 peopl board hijack
714751857290309633	2016-03-29 09:51:36	#EgyptAir #hijacked, passengers freed https://t.co/qecEZeIEvI https://t.co/WBuZML1K0x #newsupdate	#EgyptAir #hijacked, passengers freed   #newsupdate	EgyptAir hijacked, passengers freed   newsupdate	egyptair hijacked passengers freed newsupdate	egyptair hijack passeng freed newsupd
714751857239965700	2016-03-29 09:51:36	If I was the ex-wife ; I would've thought it was a very romantic gesture to win me back. #youhijackedmyheart #EgyptAir #EgyptAirHijack	If I was the ex-wife ; I would've thought it was a very romantic gesture to win me back. #youhijackedmyheart #EgyptAir #EgyptAirHijack	If I was the ex-wife ; I would've thought it was a very romantic gesture to win me back. youhijackedmyheart EgyptAir EgyptAirHijack	ex-wife would've thought romantic gesture win back youhijackedmyheart egyptair egyptairhijack	ex-wif would'v thought romant gestur win back youhijackedmyheart egyptair egyptairhijack
714751854492655616	2016-03-29 09:51:36	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has be... https://t.co/AcQCqCvq9r Source: WSJ	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has be...  Source: WSJ	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has be...  Source: WSJ	egyptair jetliner hijacked passengers held egyptair plane 64 people board source wsj	egyptair jetlin hijack passeng held egyptair plane 64 peopl board sourc wsj
714751853066657792	2016-03-29 09:51:35	EgyptAir Jetliner Hijacked, Some Passengers Held https://t.co/LaSVWqI4Xf #worldnews #wsj	EgyptAir Jetliner Hijacked, Some Passengers Held  #worldnews #wsj	EgyptAir Jetliner Hijacked, Some Passengers Held  worldnews wsj	egyptair jetliner hijacked passengers held worldnews wsj	egyptair jetlin hijack passeng held worldnew wsj
714751852466855937	2016-03-29 09:51:35	EgyptAir hijack ‘not terrorist incident’ https://t.co/ewWT8ZUSQo https://t.co/XBGJsfgxQo	EgyptAir hijack ‘not terrorist incident’  	EgyptAir hijack ‘not terrorist incident’  	egyptair hijack terrorist incident	egyptair hijack terrorist incid
714751851170762752	2016-03-29 09:51:35	#EgyptAir i wish everyone would calm the fuck down too many people have died and for what absolutely nothing thats what	#EgyptAir i wish everyone would calm the fuck down too many people have died and for what absolutely nothing thats what	EgyptAir i wish everyone would calm the fuck down too many people have died and for what absolutely nothing thats what	egyptair wish everyone would calm fuck many people died absolutely nothing thats	egyptair wish everyon would calm fuck mani peopl die absolut noth that
714751850566840321	2016-03-29 09:51:35	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... https://t.co/nvDZcuLfd0	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... 	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... 	egyptair jetliner hijacked passengers held egyptair plane 64 people board hijacked	egyptair jetlin hijack passeng held egyptair plane 64 peopl board hijack
