id	created_at	text	text_nolink	text_clean	text_clean_tokens	text_clean_stems	count_links	count_hashtags	count_mentions	count_words	count_stopwords	count_characters	count_non_characters	count_upper	bool_question	bool_elongation	bool_ellipsis	t_distinct	t_sum	tfidf_sum	tfidf_mean	pos_cnt	nes_cnt	pos_data	nes_data	pos_cnt_SYM	pos_cnt_NNPS	pos_cnt_JJ	pos_cnt_WP$	pos_cnt_VBD	pos_cnt_RB	pos_cnt_VB	pos_cnt_POS	pos_cnt_PDT	pos_cnt_CD	pos_cnt_UH	pos_cnt_VBZ	pos_cnt_VBP	pos_cnt_NNP	pos_cnt_''	pos_cnt_)	pos_cnt_$	pos_cnt_VBG	pos_cnt_VBN	pos_cnt_RBR	pos_cnt_``	pos_cnt_NN	pos_cnt_IN	pos_cnt_RBS	pos_cnt_TO	pos_cnt_DT	pos_cnt_PRP	pos_cnt_.	pos_cnt_JJR	pos_cnt_WP	pos_cnt_WRB	pos_cnt_FW	pos_cnt_RP	pos_cnt_,	pos_cnt_NNS	pos_cnt_PRP$	pos_cnt_CC	pos_cnt_EX	pos_cnt_:	pos_cnt_JJS	pos_cnt_WDT	pos_cnt_MD	pos_cnt_(	ne_cnt_GPE	ne_cnt_PERSON	ne_cnt_FACILITY	ne_cnt_ORGANIZATION	ne_cnt_LOCATION	ne_cnt_GSP
714751860767375360	2016-03-29 09:51:37	Foreign ministry denies it told the Guardian that the EgyptAir hijacker is an idiot, or that they spoke to Guardian.	Foreign ministry denies it told the Guardian that the EgyptAir hijacker is an idiot, or that they spoke to Guardian.	Foreign ministry denies it told the Guardian that the EgyptAir hijacker is an idiot, or that they spoke to Guardian.	foreign ministry denies told guardian egyptair hijacker idiot spoke guardian	foreign ministri deni told guardian egyptair hijack idiot spoke guardian	0	0	0	20	10	116	0	5	0	0	0	9.0	10.0	2.6257137320411434	0.2917459702267937	19	2	{'NN': 3, 'IN': 1, 'VBZ': 2, 'DT': 2, 'NNP': 3, 'TO': 1, 'CC': 1, 'PRP': 2, '.': 1, 'VBD': 2, ',': 1}	{'GPE': 1, 'ORGANIZATION': 1}	0	0	3.0	1.0	0	0	0	0	0	0	2.0	1.0	0	0	0	0	2.0	0	0	0	0	1.0	0	0	0	0	0	2.0	0	3.0	1.0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0
714751859903307776	2016-03-29 09:51:37	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... https://t.co/hQtNPHt3F1	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... 	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... 	egyptair jetliner hijacked passengers held egyptair plane 64 people board hijacked	egyptair jetlin hijack passeng held egyptair plane 64 peopl board hijack	1	0	0	19	7	137	0	10	0	0	1	9.0	11.0	2.7576509516985905	0.30640566129984337	19	2	{'CD': 1, 'IN': 2, 'VBZ': 1, 'DT': 2, 'NNP': 3, 'NN': 2, ':': 2, 'VBD': 1, 'VBN': 2, ',': 1, 'NNS': 2}	{'PERSON': 1, 'ORGANIZATION': 1}	0	0	2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	2.0	1.0	0	0	0	1.0	0	3.0	0	0	0	2.0	2.0	0	0	0	0	2.0	0	0	0	0	1.0	0	1.0	0	0
714751857873272832	2016-03-29 09:51:37	#MS181 hijacker did not have gun on him: Egypt aviation minister #EgyptAir https://t.co/Wl3qFqRn8I https://t.co/kMRsLtdjO7	#MS181 hijacker did not have gun on him: Egypt aviation minister #EgyptAir  	MS181 hijacker did not have gun on him: Egypt aviation minister EgyptAir  	ms181 hijacker gun egypt aviation minister egyptair	ms181 hijack gun egypt aviat minist egyptair	2	2	0	12	5	122	0	1	0	0	0	7.0	7.0	2.4121945043839186	0.34459921491198836	13	2	{'NN': 3, 'IN': 1, 'NNP': 3, 'PRP': 1, ':': 1, 'VBD': 1, 'RB': 1, 'VB': 1, 'VBN': 1}	{'GPE': 1, 'ORGANIZATION': 1}	0	0	3.0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	1.0	0	0
714751857869070336	2016-03-29 09:51:37	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... https://t.co/tIL2YDmhoQ	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... 	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has been hijacked ... 	egyptair jetliner hijacked passengers held egyptair plane 64 people board hijacked	egyptair jetlin hijack passeng held egyptair plane 64 peopl board hijack	1	0	0	19	7	137	0	10	0	0	1	9.0	11.0	2.7576509516985905	0.30640566129984337	19	2	{'CD': 1, 'IN': 2, 'VBZ': 1, 'DT': 2, 'NNP': 3, 'NN': 2, ':': 2, 'VBD': 1, 'VBN': 2, ',': 1, 'NNS': 2}	{'PERSON': 1, 'ORGANIZATION': 1}	0	0	2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	2.0	1.0	0	0	0	1.0	0	3.0	0	0	0	2.0	2.0	0	0	0	0	2.0	0	0	0	0	1.0	0	1.0	0	0
714751857290309633	2016-03-29 09:51:36	#EgyptAir #hijacked, passengers freed https://t.co/qecEZeIEvI https://t.co/WBuZML1K0x #newsupdate	#EgyptAir #hijacked, passengers freed   #newsupdate	EgyptAir hijacked, passengers freed   newsupdate	egyptair hijacked passengers freed newsupdate	egyptair hijack passeng freed newsupd	2	3	0	4	0	97	0	0	0	0	0	5.0	5.0	1.8733360132775057	0.37466720265550113	6	1	{'NN': 1, 'VBD': 1, 'VBP': 1, 'NNP': 1, ',': 1, 'NNS': 1}	{'GPE': 1}	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	1.0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
714751857239965700	2016-03-29 09:51:36	If I was the ex-wife ; I would've thought it was a very romantic gesture to win me back. #youhijackedmyheart #EgyptAir #EgyptAirHijack	If I was the ex-wife ; I would've thought it was a very romantic gesture to win me back. #youhijackedmyheart #EgyptAir #EgyptAirHijack	If I was the ex-wife ; I would've thought it was a very romantic gesture to win me back. youhijackedmyheart EgyptAir EgyptAirHijack	ex-wife would've thought romantic gesture win back youhijackedmyheart egyptair egyptairhijack	ex-wif would'v thought romant gestur win back youhijackedmyheart egyptair egyptairhijack	0	3	0	19	12	134	0	3	0	0	0	11.0	11.0	3.119136928034763	0.2835579025486148	22	1	{'NN': 2, 'IN': 1, 'DT': 2, 'JJ': 2, 'NNP': 2, 'TO': 1, 'PRP': 3, '.': 1, ':': 1, 'VBP': 1, 'VBD': 1, 'RB': 2, 'VB': 1, 'VBN': 1, 'MD': 1}	{'ORGANIZATION': 1}	0	0	2.0	1.0	0	0	2.0	0	0	0	3.0	1.0	0	0	0	0	1.0	2.0	1.0	0	0	0	0	0	0	0	0	0	1.0	2.0	1.0	0	0	1.0	2.0	0	0	0	0	1.0	0	1.0	0	0	0	0	1.0	0	0
714751854492655616	2016-03-29 09:51:36	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has be... https://t.co/AcQCqCvq9r Source: WSJ	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has be...  Source: WSJ	EgyptAir Jetliner Hijacked, Some Passengers Held: An EgyptAir plane with 64 people on board has be...  Source: WSJ	egyptair jetliner hijacked passengers held egyptair plane 64 people board source wsj	egyptair jetlin hijack passeng held egyptair plane 64 peopl board sourc wsj	1	0	0	19	6	137	0	14	0	0	1	11.0	12.0	3.012894747014384	0.2738995224558531	20	2	{'CD': 1, 'IN': 2, 'VBZ': 1, 'DT': 2, 'NNP': 3, 'NN': 4, ':': 2, 'VBD': 1, 'VB': 1, ',': 1, 'NNS': 2}	{'PERSON': 1, 'ORGANIZATION': 1}	0	0	4.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	1.0	2.0	1.0	0	0	0	1.0	0	3.0	0	0	0	2.0	2.0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0
714751853066657792	2016-03-29 09:51:35	EgyptAir Jetliner Hijacked, Some Passengers Held https://t.co/LaSVWqI4Xf #worldnews #wsj	EgyptAir Jetliner Hijacked, Some Passengers Held  #worldnews #wsj	EgyptAir Jetliner Hijacked, Some Passengers Held  worldnews wsj	egyptair jetliner hijacked passengers held worldnews wsj	egyptair jetlin hijack passeng held worldnew wsj	1	2	0	7	1	88	0	7	0	0	0	6.0	6.0	2.1295160678065703	0.35491934463442837	9	2	{'NN': 1, 'VBD': 1, 'NNP': 3, 'DT': 1, ',': 1, 'NNS': 2}	{'PERSON': 1, 'ORGANIZATION': 1}	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	2.0	0	0	0	0	0	0	3.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0
714751852466855937	2016-03-29 09:51:35	EgyptAir hijack ‘not terrorist incident’ https://t.co/ewWT8ZUSQo https://t.co/XBGJsfgxQo	EgyptAir hijack ‘not terrorist incident’  	EgyptAir hijack ‘not terrorist incident’  	egyptair hijack terrorist incident	egyptair hijack terrorist incid	2	0	0	7	1	88	1	2	0	0	0	4.0	4.0	1.820977761806281	0.45524444045157025	5	1	{'NNP': 2, 'NN': 3}	{'GPE': 1}	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
714751851170762752	2016-03-29 09:51:35	#EgyptAir i wish everyone would calm the fuck down too many people have died and for what absolutely nothing thats what	#EgyptAir i wish everyone would calm the fuck down too many people have died and for what absolutely nothing thats what	EgyptAir i wish everyone would calm the fuck down too many people have died and for what absolutely nothing thats what	egyptair wish everyone would calm fuck many people died absolutely nothing thats	egyptair wish everyon would calm fuck mani peopl die absolut noth that	0	1	0	20	9	119	0	0	0	0	0	12.0	12.0	3.2950511140235936	0.2745875928352995	20	1	{'NN': 2, 'IN': 1, 'DT': 1, 'JJ': 3, 'NNP': 1, 'CC': 1, 'VBP': 2, 'WP': 1, 'RB': 2, 'VB': 1, 'VBN': 1, 'RP': 1, 'MD': 1, 'NNS': 2}	{'GPE': 1}	0	0	2.0	1.0	0	0	3.0	0	1.0	0	0	0	0	0	0	0	0	2.0	1.0	0	1.0	0	2.0	0	0	0	0	0	2.0	1.0	0	1.0	0	0	1.0	0	0	0	0	1.0	0	1.0	0	1.0	0	0	0	0	0
