term1	term2	value
1	1	0
1	2	33
1	3	59
1	4	66
1	5	34
1	6	19
1	7	19
1	8	5
1	9	8
1	10	28
1	11	10
1	12	17
1	13	12
1	14	13
1	15	20
1	16	7
1	17	9
1	18	10
1	19	8
1	20	18
1	21	12
1	22	18
1	23	5
1	24	23
1	25	2
1	26	4
1	27	4
1	28	5
1	29	6
1	30	30
1	31	16
1	32	1
1	33	17
1	34	5
1	35	0
1	36	2
1	37	1
1	38	7
1	39	21
1	40	16
1	41	9
1	42	14
1	43	21
1	44	4
1	45	11
1	46	3
1	47	34
1	48	7
1	49	2
2	1	33
2	2	0
2	3	24
2	4	15
2	5	10
2	6	70
2	7	9
2	8	17
2	9	3
2	10	5
2	11	3
2	12	24
2	13	17
2	14	3
2	15	4
2	16	5
2	17	2
2	18	9
2	19	0
2	20	27
2	21	7
2	22	2
2	23	0
2	24	6
2	25	8
2	26	1
2	27	8
2	28	5
2	29	6
2	30	2
2	31	2
2	32	6
2	33	4
2	34	0
2	35	6
2	36	1
2	37	2
2	38	0
2	39	4
2	40	17
2	41	7
2	42	12
2	43	3
2	44	7
2	45	7
2	46	4
2	47	1
2	48	0
2	49	4
3	1	59
3	2	24
3	3	0
3	4	38
3	5	64
3	6	10
3	7	21
3	8	5
3	9	5
3	10	16
3	11	6
3	12	4
3	13	32
3	14	5
3	15	4
3	16	8
3	17	5
3	18	8
3	19	6
3	20	15
3	21	19
3	22	6
3	23	5
3	24	16
3	25	2
3	26	2
3	27	2
3	28	0
3	29	2
3	30	11
3	31	5
3	32	4
3	33	2
3	34	4
3	35	0
3	36	2
3	37	0
3	38	6
3	39	12
3	40	5
3	41	2
3	42	5
3	43	0
3	44	3
3	45	4
3	46	1
3	47	5
3	48	6
3	49	4
4	1	66
4	2	15
4	3	38
4	4	0
4	5	22
4	6	0
4	7	9
4	8	0
4	9	4
4	10	1
4	11	3
4	12	7
4	13	13
4	14	4
4	15	0
4	16	0
4	17	0
4	18	5
4	19	7
4	20	7
4	21	7
4	22	69
4	23	0
4	24	26
4	25	0
4	26	0
4	27	0
4	28	0
4	29	0
4	30	12
4	31	7
4	32	0
4	33	4
4	34	0
4	35	0
4	36	3
4	37	4
4	38	1
4	39	76
4	40	1
4	41	0
4	42	0
4	43	0
4	44	1
4	45	1
4	46	0
4	47	5
4	48	1
4	49	1
5	1	34
5	2	10
5	3	64
5	4	22
5	5	0
5	6	1
5	7	14
5	8	2
5	9	1
5	10	13
5	11	3
5	12	1
5	13	11
5	14	3
5	15	7
5	16	13
5	17	8
5	18	13
5	19	4
5	20	15
5	21	13
5	22	0
5	23	5
5	24	14
5	25	0
5	26	4
5	27	0
5	28	2
5	29	5
5	30	4
5	31	9
5	32	10
5	33	0
5	34	5
5	35	0
5	36	1
5	37	1
5	38	5
5	39	2
5	40	0
5	41	1
5	42	1
5	43	0
5	44	31
5	45	0
5	46	0
5	47	0
5	48	5
5	49	3
6	1	19
6	2	70
6	3	10
6	4	0
6	5	1
6	6	0
6	7	20
6	8	7
6	9	3
6	10	1
6	11	1
6	12	44
6	13	7
6	14	2
6	15	0
6	16	1
6	17	1
6	18	0
6	19	0
6	20	22
6	21	16
6	22	0
6	23	3
6	24	0
6	25	8
6	26	1
6	27	10
6	28	5
6	29	2
6	30	0
6	31	3
6	32	3
6	33	28
6	34	2
6	35	4
6	36	0
6	37	1
6	38	0
6	39	2
6	40	1
6	41	3
6	42	0
6	43	0
6	44	1
6	45	0
6	46	0
6	47	1
6	48	0
6	49	0
7	1	19
7	2	9
7	3	21
7	4	9
7	5	14
7	6	20
7	7	0
7	8	6
7	9	16
7	10	6
7	11	17
7	12	10
7	13	8
7	14	3
7	15	1
7	16	16
7	17	2
7	18	10
7	19	6
7	20	1
7	21	72
7	22	2
7	23	0
7	24	3
7	25	1
7	26	0
7	27	0
7	28	1
7	29	0
7	30	2
7	31	1
7	32	3
7	33	12
7	34	0
7	35	4
7	36	1
7	37	1
7	38	0
7	39	5
7	40	3
7	41	2
7	42	1
7	43	0
7	44	2
7	45	2
7	46	0
7	47	0
7	48	0
7	49	9
8	1	5
8	2	17
8	3	5
8	4	0
8	5	2
8	6	7
8	7	6
8	8	0
8	9	4
8	10	4
8	11	5
8	12	1
8	13	0
8	14	5
8	15	3
8	16	11
8	17	5
8	18	4
8	19	5
8	20	1
8	21	3
8	22	8
8	23	7
8	24	4
8	25	9
8	26	10
8	27	9
8	28	7
8	29	5
8	30	2
8	31	0
8	32	6
8	33	0
8	34	8
8	35	6
8	36	7
8	37	3
8	38	2
8	39	0
8	40	1
8	41	0
8	42	1
8	43	0
8	44	1
8	45	0
8	46	24
8	47	0
8	48	1
8	49	0
9	1	8
9	2	3
9	3	5
9	4	4
9	5	1
9	6	3
9	7	16
9	8	4
9	9	0
9	10	5
9	11	9
9	12	4
9	13	6
9	14	8
9	15	0
9	16	2
9	17	2
9	18	1
9	19	5
9	20	0
9	21	6
9	22	0
9	23	0
9	24	1
9	25	0
9	26	0
9	27	0
9	28	2
9	29	6
9	30	6
9	31	0
9	32	1
9	33	5
9	34	0
9	35	2
9	36	3
9	37	4
9	38	2
9	39	5
9	40	3
9	41	3
9	42	1
9	43	0
9	44	1
9	45	1
9	46	1
9	47	0
9	48	2
9	49	5
10	1	28
10	2	5
10	3	16
10	4	1
10	5	13
10	6	1
10	7	6
10	8	4
10	9	5
10	10	0
10	11	4
10	12	2
10	13	10
10	14	8
10	15	3
10	16	2
10	17	2
10	18	3
10	19	0
10	20	8
10	21	2
10	22	11
10	23	3
10	24	6
10	25	1
10	26	2
10	27	1
10	28	9
10	29	0
10	30	3
10	31	1
10	32	3
10	33	2
10	34	2
10	35	2
10	36	2
10	37	0
10	38	5
10	39	0
10	40	1
10	41	2
10	42	3
10	43	1
10	44	1
10	45	3
10	46	4
10	47	0
10	48	5
10	49	2
11	1	10
11	2	3
11	3	6
11	4	3
11	5	3
11	6	1
11	7	17
11	8	5
11	9	9
11	10	4
11	11	0
11	12	1
11	13	6
11	14	5
11	15	0
11	16	5
11	17	0
11	18	1
11	19	0
11	20	3
11	21	0
11	22	1
11	23	0
11	24	0
11	25	0
11	26	0
11	27	0
11	28	0
11	29	0
11	30	2
11	31	0
11	32	4
11	33	1
11	34	0
11	35	10
11	36	0
11	37	0
11	38	0
11	39	0
11	40	0
11	41	0
11	42	0
11	43	0
11	44	0
11	45	0
11	46	0
11	47	0
11	48	0
11	49	0
12	1	17
12	2	24
12	3	4
12	4	7
12	5	1
12	6	44
12	7	10
12	8	1
12	9	4
12	10	2
12	11	1
12	12	0
12	13	1
12	14	1
12	15	0
12	16	2
12	17	1
12	18	0
12	19	0
12	20	12
12	21	5
12	22	4
12	23	9
12	24	2
12	25	13
12	26	0
12	27	14
12	28	9
12	29	2
12	30	0
12	31	2
12	32	1
12	33	54
12	34	8
12	35	4
12	36	1
12	37	0
12	38	0
12	39	6
12	40	2
12	41	3
12	42	1
12	43	0
12	44	2
12	45	6
12	46	0
12	47	1
12	48	0
12	49	0
13	1	12
13	2	17
13	3	32
13	4	13
13	5	11
13	6	7
13	7	8
13	8	0
13	9	6
13	10	10
13	11	6
13	12	1
13	13	0
13	14	1
13	15	8
13	16	1
13	17	0
13	18	4
13	19	3
13	20	5
13	21	5
13	22	3
13	23	1
13	24	5
13	25	0
13	26	1
13	27	0
13	28	0
13	29	1
13	30	15
13	31	1
13	32	3
13	33	0
13	34	0
13	35	2
13	36	0
13	37	1
13	38	0
13	39	6
13	40	0
13	41	3
13	42	6
13	43	8
13	44	2
13	45	2
13	46	2
13	47	0
13	48	0
13	49	2
14	1	13
14	2	3
14	3	5
14	4	4
14	5	3
14	6	2
14	7	3
14	8	5
14	9	8
14	10	8
14	11	5
14	12	1
14	13	1
14	14	0
14	15	6
14	16	2
14	17	5
14	18	3
14	19	10
14	20	0
14	21	1
14	22	2
14	23	0
14	24	3
14	25	0
14	26	0
14	27	0
14	28	10
14	29	1
14	30	1
14	31	0
14	32	0
14	33	0
14	34	0
14	35	4
14	36	4
14	37	9
14	38	13
14	39	0
14	40	0
14	41	2
14	42	0
14	43	0
14	44	0
14	45	5
14	46	1
14	47	0
14	48	12
14	49	1
15	1	20
15	2	4
15	3	4
15	4	0
15	5	7
15	6	0
15	7	1
15	8	3
15	9	0
15	10	3
15	11	0
15	12	0
15	13	8
15	14	6
15	15	0
15	16	3
15	17	43
15	18	4
15	19	0
15	20	1
15	21	0
15	22	0
15	23	0
15	24	3
15	25	0
15	26	0
15	27	0
15	28	0
15	29	0
15	30	14
15	31	13
15	32	7
15	33	0
15	34	0
15	35	1
15	36	0
15	37	0
15	38	0
15	39	0
15	40	0
15	41	0
15	42	0
15	43	28
15	44	0
15	45	0
15	46	0
15	47	4
15	48	0
15	49	0
16	1	7
16	2	5
16	3	8
16	4	0
16	5	13
16	6	1
16	7	16
16	8	11
16	9	2
16	10	2
16	11	5
16	12	2
16	13	1
16	14	2
16	15	3
16	16	0
16	17	5
16	18	2
16	19	9
16	20	3
16	21	12
16	22	1
16	23	9
16	24	7
16	25	10
16	26	8
16	27	11
16	28	1
16	29	8
16	30	1
16	31	0
16	32	2
16	33	0
16	34	9
16	35	1
16	36	5
16	37	0
16	38	1
16	39	0
16	40	0
16	41	6
16	42	1
16	43	0
16	44	3
16	45	0
16	46	3
16	47	2
16	48	1
16	49	7
17	1	9
17	2	2
17	3	5
17	4	0
17	5	8
17	6	1
17	7	2
17	8	5
17	9	2
17	10	2
17	11	0
17	12	1
17	13	0
17	14	5
17	15	43
17	16	5
17	17	0
17	18	4
17	19	0
17	20	2
17	21	1
17	22	0
17	23	0
17	24	1
17	25	2
17	26	0
17	27	0
17	28	0
17	29	0
17	30	6
17	31	28
17	32	5
17	33	0
17	34	0
17	35	0
17	36	0
17	37	0
17	38	0
17	39	0
17	40	1
17	41	2
17	42	0
17	43	0
17	44	0
17	45	0
17	46	0
17	47	4
17	48	0
17	49	1
18	1	10
18	2	9
18	3	8
18	4	5
18	5	13
18	6	0
18	7	10
18	8	4
18	9	1
18	10	3
18	11	1
18	12	0
18	13	4
18	14	3
18	15	4
18	16	2
18	17	4
18	18	0
18	19	9
18	20	2
18	21	6
18	22	4
18	23	1
18	24	1
18	25	1
18	26	0
18	27	1
18	28	1
18	29	0
18	30	3
18	31	4
18	32	6
18	33	0
18	34	0
18	35	0
18	36	3
18	37	7
18	38	4
18	39	1
18	40	3
18	41	2
18	42	2
18	43	0
18	44	10
18	45	0
18	46	0
18	47	4
18	48	3
18	49	0
19	1	8
19	2	0
19	3	6
19	4	7
19	5	4
19	6	0
19	7	6
19	8	5
19	9	5
19	10	0
19	11	0
19	12	0
19	13	3
19	14	10
19	15	0
19	16	9
19	17	0
19	18	9
19	19	0
19	20	7
19	21	3
19	22	3
19	23	0
19	24	0
19	25	0
19	26	0
19	27	0
19	28	1
