event	event_id	twitter_id	created_at	text	news
Google I/O	19918	7.33006E+17	5/18/2016 18:48	Android instant apps can be triggered by NFC - interesting but could be dangerous too #IO16	0.50
Google I/O	22851	7.33031E+17	5/18/2016 20:25	Google is trying to pretend Hangouts doesn't exist. YOU CAN'T GHOST APPS GOOGLE. THAT'S NOT HOW THIS WORKS. #io16	0.00
Google I/O	4814	7.32981E+17	5/18/2016 17:06	Sunday Pichai is on stage! #dtio16 #io16 @DigitalTrends @DTmobile #GoogleIO2016 https://t.co/M71ME7fJGj	1.00
Google I/O	19739	7.33006E+17	5/18/2016 18:47	Okey that is fuckin awesome omg! #androidinstantapps #io16	0.00
Google I/O	3404	7.32976E+17	5/18/2016 16:48	Live Blog: Google I/O 2016 Opening Keynote #IO16 https://t.co/oFFhuelECV	0.00
Google I/O	9604	7.32988E+17	5/18/2016 17:36	#Allo , new messenger by Google #io16 https://t.co/EELGkMllgF	1.00
Google I/O	22632	7.33028E+17	5/18/2016 20:13	Google Home vs. Amazon Echo: @GebAndrew breaks down what we know so far. #io16 https://t.co/m6OdNdIgXL via @CNET	0.50
Google I/O	4187	7.32979E+17	5/18/2016 17:01	This harp thing is pretty cool. #io16	0.00
Google I/O	24033	7.33053E+17	5/18/2016 21:53	https://t.co/hjVMEf7cpz  #WednesdayWisdom , #Trump&amp;#39;s_Supreme Court , #io16  jN	0.00
Google I/O	5770	7.32982E+17	5/18/2016 17:13	Google has just announced a new conversational assistant with two-way dialogue! #io16	1.00
Google I/O	10152	7.32989E+17	5/18/2016 17:39	#io16  "Nice bernese mountain dog" ??	0.00
Google I/O	15018	7.32997E+17	5/18/2016 18:10	72 new emojis on the Android N, with unicode 9. #io16	0.50
Google I/O	18490	7.33003E+17	5/18/2016 18:36	Yessss test recording, finally. Generate you Espresso Tests after your recording. #io16.	0.00
Google I/O	8170	7.32986E+17	5/18/2016 17:28	Google Home interacting with Google Chromecast looks phenomenal, first foray into smart homes for many people #io16	0.50
Google I/O	15284	7.32997E+17	5/18/2016 18:11	VR coming to N !! #io16	0.00
Google I/O	2790	7.32973E+17	5/18/2016 16:34	We made iiiit!!  We are ready to get started at #io16 !! #HappyDevs #Nearsoft #NearsoftJobs https://t.co/A2bByOFZw8	0.00
Google I/O	12662	7.32993E+17	5/18/2016 17:53	I'm not sure why Allo's features weren't added to Hangouts? Video+chat...that's Hangouts. Why a new product? What's the diff use case? #io16	0.00
Google I/O	17827	7.33002E+17	5/18/2016 18:29	Now on to developer products. #io16 https://t.co/X1iqUJgRbr	1.00
Google I/O	2735	7.32972E+17	5/18/2016 16:32	Our #io16 pre-game show is starting now! Tweet us at #CNETLive w/ your questions/thoughts https://t.co/XrQjdWgTYs https://t.co/YxAoECLrhW	1.00
Google I/O	18151	7.33002E+17	5/18/2016 18:32	Now: Android Studio #io16 #ioextendedmanila #gdg #gdgph	1.00
Google I/O	22730	7.33029E+17	5/18/2016 20:18	Presence in virtual reality and how PowerVR GPUs can help https://t.co/AWcibQPvgf #io16 #Daydream https://t.co/rsZfKhijAT	0.00
Google I/O	14448	7.32996E+17	5/18/2016 18:05	Starting w/ Android N, devices will seamlessly update in the background without the user needing to do anything. YES! -@davey_burke #io16	0.50
Google I/O	9685	7.32988E+17	5/18/2016 17:36	Google launches allo it's messaging app #io16. Wow. I am going to drown in all the messaging apps.	1.00
Google I/O	4540	7.3298E+17	5/18/2016 17:04	#io16 Let the show begin!	0.50
Google I/O	7215	7.32985E+17	5/18/2016 17:22	The wait is over #io16 ðŸ˜Š	0.00
