"event","twitter_id","created_at","text","description"
"UEFA Champions League Final","736655039431839744","2016-05-28 20:27:00","GOAL! Real Madrid 1-1 Atletico Madrid  Carrasco equalises from close range  11 minutes to go!  #UCLFinal https://t.co/lb16pi4Vro","The 2016 UEFA Champions League Final was the final match of the 2015–16 UEFA Champions League, the 61st season of Europe's premier club football tournament organised by UEFA, and the 24th season since it was renamed from the European Champion Clubs' Cup to the UEFA Champions League. It was played at the San Siro stadium in Milan, Italy, on 28 May 2016,[5] between Spanish teams Real Madrid and Atlético Madrid, in a repeat of the 2014 final."
"UEFA Champions League Final","736672155446845440","2016-05-28 21:35:00","GOAL! @Cristiano Ronaldo fires home and Real Madrid win the Champions League! #UCLfinal","The 2016 UEFA Champions League Final was the final match of the 2015–16 UEFA Champions League, the 61st season of Europe's premier club football tournament organised by UEFA, and the 24th season since it was renamed from the European Champion Clubs' Cup to the UEFA Champions League. It was played at the San Siro stadium in Milan, Italy, on 28 May 2016,[5] between Spanish teams Real Madrid and Atlético Madrid, in a repeat of the 2014 final."
"UEFA Champions League Final","736668872049315840","2016-05-28 21:22:00","Mark Clattenburg shaking his head 😂👀 #uclfinal","The 2016 UEFA Champions League Final was the final match of the 2015–16 UEFA Champions League, the 61st season of Europe's premier club football tournament organised by UEFA, and the 24th season since it was renamed from the European Champion Clubs' Cup to the UEFA Champions League. It was played at the San Siro stadium in Milan, Italy, on 28 May 2016,[5] between Spanish teams Real Madrid and Atlético Madrid, in a repeat of the 2014 final."
"UEFA Champions League Final","736634431780311040","2016-05-28 19:05:00","Sergio Ramos slots the first goal of the night in for Real Madrid after a fumble in the box #uclfinal","The 2016 UEFA Champions League Final was the final match of the 2015–16 UEFA Champions League, the 61st season of Europe's premier club football tournament organised by UEFA, and the 24th season since it was renamed from the European Champion Clubs' Cup to the UEFA Champions League. It was played at the San Siro stadium in Milan, Italy, on 28 May 2016,[5] between Spanish teams Real Madrid and Atlético Madrid, in a repeat of the 2014 final."
"UEFA Champions League Final","736646848073637890","2016-05-28 19:54:00","Wow penalty to Atletico! Pepe fouls Torres, ridiculous foul! Clear penalty. #UCLfinal","The 2016 UEFA Champions League Final was the final match of the 2015–16 UEFA Champions League, the 61st season of Europe's premier club football tournament organised by UEFA, and the 24th season since it was renamed from the European Champion Clubs' Cup to the UEFA Champions League. It was played at the San Siro stadium in Milan, Italy, on 28 May 2016,[5] between Spanish teams Real Madrid and Atlético Madrid, in a repeat of the 2014 final."
"UEFA Champions League Final","736671910075994113","2016-05-28 21:34:00","PENALTY..MISS!!  Juanfran hits the post  Advantage Real  Real 4-3 Atletico  #UCLFinal  https://t.co/NI1sjtGRxI","The 2016 UEFA Champions League Final was the final match of the 2015–16 UEFA Champions League, the 61st season of Europe's premier club football tournament organised by UEFA, and the 24th season since it was renamed from the European Champion Clubs' Cup to the UEFA Champions League. It was played at the San Siro stadium in Milan, Italy, on 28 May 2016,[5] between Spanish teams Real Madrid and Atlético Madrid, in a repeat of the 2014 final."
"UEFA Champions League Final","736669464939364353","2016-05-28 21:24:00","And the #UCLfinal goes to penalties after no goals in extra time. Real Madrid 1-1 Atletico Madrid after 120 minutes. #KickOff","The 2016 UEFA Champions League Final was the final match of the 2015–16 UEFA Champions League, the 61st season of Europe's premier club football tournament organised by UEFA, and the 24th season since it was renamed from the European Champion Clubs' Cup to the UEFA Champions League. It was played at the San Siro stadium in Milan, Italy, on 28 May 2016,[5] between Spanish teams Real Madrid and Atlético Madrid, in a repeat of the 2014 final."
"UEFA Champions League Final","736632257545416705","2016-05-28 18:56:00","SAVE! What a save by Oblak! A point-blank block denies Casemiro from a whipping Bale set-piece. Wow. #UCLfinal","The 2016 UEFA Champions League Final was the final match of the 2015–16 UEFA Champions League, the 61st season of Europe's premier club football tournament organised by UEFA, and the 24th season since it was renamed from the European Champion Clubs' Cup to the UEFA Champions League. It was played at the San Siro stadium in Milan, Italy, on 28 May 2016,[5] between Spanish teams Real Madrid and Atlético Madrid, in a repeat of the 2014 final."
"UEFA Champions League Final","736653722378510336","2016-05-28 20:21:00","I swear Pepe needs to be hit by a propert fighter. Maybe Tyson or a UFC fighter. Fucking prick rolling around like a girl. #uclfinal","The 2016 UEFA Champions League Final was the final match of the 2015–16 UEFA Champions League, the 61st season of Europe's premier club football tournament organised by UEFA, and the 24th season since it was renamed from the European Champion Clubs' Cup to the UEFA Champions League. It was played at the San Siro stadium in Milan, Italy, on 28 May 2016,[5] between Spanish teams Real Madrid and Atlético Madrid, in a repeat of the 2014 final."
"UEFA Champions League Final","736654836347904005","2016-05-28 20:26:00","E remain small Real Madrid for score. #uclfinal","The 2016 UEFA Champions League Final was the final match of the 2015–16 UEFA Champions League, the 61st season of Europe's premier club football tournament organised by UEFA, and the 24th season since it was renamed from the European Champion Clubs' Cup to the UEFA Champions League. It was played at the San Siro stadium in Milan, Italy, on 28 May 2016,[5] between Spanish teams Real Madrid and Atlético Madrid, in a repeat of the 2014 final."
