event	twitter_id	news	question	advertisement	opinion	quote	sarcasm	explicit	lang	error
24 Hours of Le Mans	744065054232973312	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744130691026325505	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744145930283286528	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744147575616471040	1	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744152740566286336	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744152879066419200	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744153309481734144	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744157999661453314	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744164709222465536	1	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744165185456308225	1	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744165740773769216	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744165845132259329	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744165990607560704	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744178815027515392	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744186407602819073	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744243370696970240	1	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744269990308642816	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744281150932279296	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744281252300099584	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744289362075095040	1	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744296178938941440	1	0	0	0	1	0	0	0	0
24 Hours of Le Mans	744296353262637056	0	0	1	0	0	0	0	0	0
24 Hours of Le Mans	744308115642908672	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744333882376454144	1	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744333914722865152	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744391377312616449	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744400708187885568	1	1	0	0	0	0	0	0	0
24 Hours of Le Mans	744400734674890753	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744454884896968704	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744461664947339264	1	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744461682903224320	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744469919329296384	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744484977694343168	0	0	1	0	0	0	0	0	0
24 Hours of Le Mans	744500179731161089	1	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744507678102290432	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744507760956551168	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744509830073749504	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744509869298855936	1	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744509909669142528	1	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744511054005305344	0	0	1	0	0	0	0	0	0
24 Hours of Le Mans	744511273052811264	1	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744512520128454656	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744513596818919424	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744513714381029378	1	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744513949283008512	1	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744513999279169537	1	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744514017113292800	1	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744514354826051584	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744514476049850368	1	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744514759022743552	1	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744515246862245888	0	0	1	0	0	0	0	0	0
24 Hours of Le Mans	744515276021075968	1	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744515465326764032	1	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744515628174712833	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744515738883481600	1	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744515750342365184	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744516170754162688	1	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744516366129045504	1	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744517448930594817	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744519202887901184	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744519224173813760	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744519263088607232	1	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744520093497987072	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744520426647355392	1	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744520873814667264	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744522950305583104	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744524071476436992	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744524120994373634	1	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744525059730055169	0	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744525076872179712	1	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744526104854151168	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744526723245576192	1	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744529887784931328	1	0	0	0	0	0	0	0	0
24 Hours of Le Mans	744533485021454336	1	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744538805009547264	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744555341896101889	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744572580380696576	0	0	0	1	0	0	0	0	0
24 Hours of Le Mans	744580750608113668	1	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742153349496086528	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742342446575554561	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742347916849750016	1	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742373728902733824	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742385712155099136	0	0	0	0	0	0	0	0	0
Apple Worldwide Developer Conference	742400417808551936	0	0	0	1	0	0	0	0	0
Apple Worldwide Developer Conference	742400526017388544	1	0	1	0	0	0	0	0	0
Apple Worldwide Developer Conference	742401225270910976	1	0	0	1	0	0	0	0	0
